Name,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lari Ketner,Career,NBA,25.0,0.0,5.6,0.5,1.3,0.406,0.0,0.0,0.0,0.5,1.3,0.406,0.406,0.3,0.5,0.667,0.5,0.9,1.4,0.1,0.2,0.1,0.5,0.8,1.4
Randolph Keys,Career,NBA,241.0,19.0,13.8,2.2,5.1,0.425,0.2,0.6,0.272,2.0,4.5,0.445,0.441,0.7,1.0,0.721,0.9,1.4,2.3,0.8,0.6,0.2,0.7,2.2,5.2
Viktor Khryapa,Career,NBA,143.0,58.0,16.4,1.8,4.0,0.44299999999999995,0.1,0.3,0.292,1.7,3.6,0.457,0.455,0.9,1.3,0.6579999999999999,1.2,2.3,3.4,1.0,0.6,0.3,1.0,2.5,4.5
Jason Kidd,Career,NBA,1391.0,1350.0,36.0,4.5,11.2,0.4,1.4,4.1,0.349,3.0,7.1,0.429,0.46399999999999997,2.2,2.8,0.785,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6
Warren Kidd,Career,NBA,68.0,14.0,13.0,1.5,2.5,0.5920000000000001,0.0,0.0,0.0,1.5,2.5,0.5920000000000001,0.5920000000000001,0.7,1.3,0.547,1.1,2.3,3.4,0.3,0.3,0.3,0.6,1.9,3.6
Michael Kidd-Gilchrist,Career,NBA,421.0,356.0,25.4,3.4,7.2,0.47700000000000004,0.1,0.2,0.27699999999999997,3.4,7.0,0.483,0.48100000000000004,1.9,2.6,0.7140000000000001,1.6,4.0,5.6,1.2,0.7,0.7,0.9,2.2,8.8
Sean Kilpatrick,Career,NBA,157.0,25.0,19.6,3.5,8.4,0.413,1.2,3.7,0.335,2.2,4.7,0.474,0.48700000000000004,2.1,2.5,0.862,0.3,2.5,2.7,1.5,0.5,0.1,1.3,1.2,10.3
Bo Kimble,Career,NBA,105.0,22.0,12.7,2.1,5.4,0.386,0.2,0.8,0.29100000000000004,1.8,4.5,0.40299999999999997,0.408,1.1,1.5,0.728,0.6,1.0,1.5,0.9,0.4,0.1,0.9,2.0,5.5
Stan Kimbrough,Career,NBA,13.0,0.0,5.0,0.7,1.7,0.409,0.1,0.2,0.5,0.6,1.5,0.4,0.43200000000000005,0.2,0.2,1.0,0.3,0.2,0.5,0.5,0.4,0.0,0.3,0.4,1.6
Albert King,Career,NBA,534.0,326.0,24.0,5.1,11.0,0.461,0.1,0.4,0.268,5.0,10.6,0.46799999999999997,0.466,1.9,2.4,0.7909999999999999,1.4,2.8,4.2,2.2,0.8,0.4,2.2,3.0,12.1
Bernard King,Career,NBA,874.0,547.0,33.7,9.0,17.3,0.518,0.0,0.2,0.172,8.9,17.1,0.521,0.519,4.5,6.2,0.73,1.9,3.8,5.8,3.3,1.0,0.3,3.2,3.3,22.5
Chris King,Career,NBA,103.0,66.0,20.0,2.6,6.2,0.423,0.4,1.2,0.38299999999999995,2.2,5.0,0.433,0.45899999999999996,1.0,1.6,0.633,1.0,2.0,3.0,1.1,0.7,0.3,1.2,1.8,6.7
Frankie King,Career,NBA,13.0,0.0,6.1,0.8,2.2,0.35700000000000004,0.1,0.2,0.33299999999999996,0.7,1.9,0.36,0.375,0.5,0.6,0.75,0.4,0.8,1.2,0.5,0.5,0.0,0.4,0.8,2.1
George King,Career,NBA,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerard King,Career,NBA,126.0,31.0,14.5,1.9,3.7,0.503,0.0,0.0,0.0,1.9,3.7,0.503,0.503,0.8,1.0,0.7440000000000001,1.0,2.1,3.1,0.7,0.4,0.2,0.7,1.9,4.5
Jimmy King,Career,NBA,64.0,1.0,13.9,1.8,4.1,0.429,0.1,0.5,0.147,1.7,3.5,0.47100000000000003,0.439,0.9,1.3,0.691,0.7,1.0,1.8,1.4,0.4,0.2,1.0,1.2,4.5
